,bridge,name,date,reviews,stars,lng,lat
0,상동두산,공룡공원,2020-08,굿,3,128.6033946,35.8299253
1,상동두산,공룡공원,2020-08,굿,3,128.6033946,35.8299253
2,칠성신천,국채보상운동기념공원,2020-08,좋아요,5,128.60275,35.8690071
3,칠성신천,국채보상운동기념공원,2020-06,주차장 이용했습니다아,5,128.60275,35.8690071
4,칠성신천,국채보상운동기념공원,2020-02,대구를 상징하는 좋아요,3,128.60275,35.8690071
5,칠성신천,국채보상운동기념공원,2020-11,굿,4,128.60275,35.8690071
6,칠성신천,국채보상운동기념공원,2020-10,좋아요,5,128.60275,35.8690071
7,칠성신천,국채보상운동기념공원,2020-09,갃싸고 컬리티 좋아용,5,128.60275,35.8690071
8,경대칠성,꽃보라동산,2019-12,벗꽃이 이뻐용^^,5,128.5997241,35.8900225
9,경대칠성,꽃보라동산,2019-12,봄철 벚꽃이 만개 했을때 구경하기 딱 좋다. 그 외에는 별로다.,3,128.5997241,35.8900225
10,경대칠성,꽃보라동산,2019-12,다른 공원에 비해 식재한 것이 자연스럽다 보니 공감이 많이 갔다,5,128.5997241,35.8900225
11,경대칠성,꽃보라동산,2019-12,벚꽃  피고 1주일이면  꽃이  다 떨어져서  별다른  재미가  없다,3,128.5997241,35.8900225
12,경대칠성,꽃보라동산,2019-12,저녁 노을 질때 구름다리에서 신천바라보는 풍경이 좋다!,5,128.5997241,35.8900225
13,경대칠성,꽃보라동산,2019-12,구)도청 길건너편이로 걸으며 데이트하기 좋은곳이라 연인들이 주로 많고 벛꽃필때 사진찍으러 많이옴.,4,128.5997241,35.8900225
14,경대칠성,꽃보라동산,2019-12,벚꽃이 만개했을 때는 절경입니다.,4,128.5997241,35.8900225
15,경대칠성,꽃보라동산,2019-12,산책붐에는.벗꽃이조이요휴식공간시원해요,5,128.5997241,35.8900225
16,경대칠성,꽃보라동산,2019-12,봄의 기분을 느낄수 있는 곳입니다.,4,128.5997241,35.8900225
17,경대칠성,꽃보라동산,2018-12,부담없이 가기 좋음. 나중에 벛꽃 보고픔,5,128.5997241,35.8900225
18,경대칠성,꽃보라동산,2019-12,벚꽃으로 유명!!주차는경북도청에 하면됩니다,5,128.5997241,35.8900225
19,경대칠성,꽃보라동산,2019-12,벚꽃보러 꽃보라동산으로 놀러오세요,3,128.5997241,35.8900225
20,경대칠성,꽃보라동산,2019-12,경치가 좋아서  신났어요,5,128.5997241,35.8900225
21,경대칠성,꽃보라동산,2019-12,가족과 함께 벗꽃구경,4,128.5997241,35.8900225
22,경대칠성,꽃보라동산,2019-12,커플이 가기 좋아요.,5,128.5997241,35.8900225
23,경대칠성,꽃보라동산,2019-12,벚꽃보러 사람들 많이 옵니다,3,128.5997241,35.8900225
24,경대칠성,꽃보라동산,2019-12,좋아요 나손향,3,128.5997241,35.8900225
25,경대칠성,꽃보라동산,2019-12,벚꽃필때 너무 이뻐요,4,128.5997241,35.8900225
26,경대칠성,꽃보라동산,2019-12,벚꽃이 너무 좋아요.,5,128.5997241,35.8900225
27,경대칠성,꽃보라동산,2019-12,이쁘네요,5,128.5997241,35.8900225
28,경대칠성,꽃보라동산,2019-12,자전거 도로와 운동하며 쉬여가는 장소 입니다,5,128.5997241,35.8900225
29,경대칠성,꽃보라동산,2019-12,"꽃보라동산, 벚꽃시즌 쵝오",5,128.5997241,35.8900225
30,경대칠성,꽃보라동산,2019-12,봄에 꽃배경으로 아이 사진찍어줬어요~~,3,128.5997241,35.8900225
31,경대칠성,꽃보라동산,2019-12,첫음 가본곳인데  괸찬은것같아요,4,128.5997241,35.8900225
32,경대칠성,꽃보라동산,2020-12,"봄되면 벚꽃피어 멀리 진해를 가지 않아도
봄을  만끽할수 있는  곳이다",5,128.5997241,35.8900225
33,경대칠성,꽃보라동산,2019-12,벚꽃이피면아름다운곳.사진찍기좋은곳.연인들데이트장소로추천,4,128.5997241,35.8900225
34,경대칠성,꽃보라동산,2019-12,가볍게 운동하러 가기 좋아요,4,128.5997241,35.8900225
35,경대칠성,꽃보라동산,2019-12,사람들이 많아 사진찍기는힘들지만 벚꽃 지기전에 가보는것도괞찮네요.^^,5,128.5997241,35.8900225
36,경대칠성,꽃보라동산,2019-12,바람이 부니 꽃잎이 흩날리더이다. 왜 꽃보라 동산인지 알것 같았습니다~~,4,128.5997241,35.8900225
37,경대칠성,꽃보라동산,2019-12,"방문일자는 03.23일
날씨가 급 흐려져 벚꽃나무를 못찍었지만.
만개는 담주부터 일듯.
주차장은 현수막에도 안내되어있듯이 건너편
대구시청별관 이용가능함.

벚꽃나무 밑에서 돗자리펴고 도시락먹던 여자들이 있던데 가능한가봄..만개하고 날씨까지 좋으면 완벽할 듯
하지만 규모는 크지않음.",3,128.5997241,35.8900225
38,경대칠성,꽃보라동산,2019-12,여름이 되면 벛꽃이 많이 피고 맑은 공기가 좋아요,5,128.5997241,35.8900225
39,경대칠성,꽃보라동산,2020-12,주자공간이 없고 사고날 위험이 많음,2,128.5997241,35.8900225
40,경대칠성,꽃보라동산,2019-12,벚꽃 엔딩 19. 4. 13,3,128.5997241,35.8900225
41,경대칠성,꽃보라동산,2020-12,벚꽃피면 가볼만한곳,3,128.5997241,35.8900225
42,경대칠성,꽃보라동산,2019-12,공원이 갈수록 이뻐지고 있는게 내년이 더 기대됩니다.,4,128.5997241,35.8900225
43,경대칠성,꽃보라동산,2019-12,바람이 불어  추웠지만 벚꽃 넘 이쁘다,5,128.5997241,35.8900225
44,경대칠성,꽃보라동산,2019-12,벚꽃피면 한번가보면 좋은곳 길이 정비많이되어있고 사진찍기좋은 나지막한 나무좋았어요,4,128.5997241,35.8900225
45,경대칠성,꽃보라동산,2019-12,"대구 벚꽃의 시작~
지금 절정!!!
+ 1년 만에 다시 찾아온 꽃보라동산, 상춘객들로 난리부르스~
주차는 시청 별관 주차장에~",5,128.5997241,35.8900225
46,경대칠성,꽃보라동산,2019-12,벚꽃이 폈을 땐 사진 찍기 좋은 장소예요.,4,128.5997241,35.8900225
47,경대칠성,꽃보라동산,2019-12,벚꽃 보러 와서 너무 예뻐요~♡,5,128.5997241,35.8900225
48,경대칠성,꽃보라동산,2019-12,대구북구청 주관 벚꽃 음악회(가야금병창) 참 좋았어요.,5,128.5997241,35.8900225
49,경대칠성,대현어린이공원,2017-12,여름에는 너무 뜨거움,3,128.6103601,35.8843789
50,경대칠성,대현어린이공원,2018-12,풍경굿,5,128.6103601,35.8843789
51,경대칠성,대현어린이공원,2017-12,밤에 지나가면 시비거는 술주정 아저씨 가끔 출몰,3,128.6103601,35.8843789
52,경대칠성,대현어린이공원,2019-12,깔끔하고 좋았어요,4,128.6103601,35.8843789
53,경대칠성,대현어린이공원,2018-12,비둘기 많음,3,128.6103601,35.8843789
54,경대칠성,대현어린이공원,2019-12,어린이집,5,128.6103601,35.8843789
55,경대칠성,대현어린이공원,2017-12,그네재밌어요,4,128.6103601,35.8843789
56,경대칠성,대현어린이공원,2017-12,애들이 많아요,3,128.6103601,35.8843789
57,경대칠성,대현어린이공원,2018-12,깨끗하고 한적해요,4,128.6103601,35.8843789
58,경대칠성,대현어린이공원,2017-12,애들 놀기에 갠찮음,4,128.6103601,35.8843789
59,경대칠성,대현어린이공원,2016-12,ㅅ,4,128.6103601,35.8843789
60,경대칠성,대현어린이공원,2019-12,"(Google 번역 제공) 좋은 작은 공원.

(원문)
Nice little park.",5,128.6103601,35.8843789
61,경대칠성,대현어린이공원,2019-12,"(Google 번역 제공) 아이들을 위해서만 작지만 아이들에게는 충분합니다. 당신이 그렇지 않다면 괜찮아요.

(원문)
Only for children, it is small but enough for children. If you are local then fine otherwise not.",5,128.6103601,35.8843789
62,경대칠성,대현어린이공원,2017-12,"(Google 번역 제공) 지역 공동체 공원입니다. 공원에는 의자와 곡예 운동기구가 거의 설치되어 있지 않습니다. 아이들을위한 좋은 놀이 구역. 공원은 주거 지역과 몇몇 레스토랑으로 둘러싸여 있습니다.

(원문)
It's a local community park. Few chairs and acrobatic exercise machines are installed in park. Also nice play zone for kids. The park is surrounded by residential area and few restaurants.",3,128.6103601,35.8843789
63,경대칠성,꽃보라동산,2019-12,"(Google 번역 제공) 산책을하기에 좋은 곳입니다.

(원문)
It's a nice place to have a walk.",4,128.5997241,35.8900225
64,경대칠성,꽃보라동산,2020-12,"(Google 번역 제공) 자연을 느끼고 꽃을 볼 수있는 좋은 장소. 당신은 아름다운 경치를 보면서 당신의 lonliness를 죽일 수 있습니다. 일몰 동안과 그 후에 방문하여 다른 색상으로 아름답게 배열 된 조명을 좋아할 것을 권장합니다.

(원문)
A nice place to feel the nature and see flower. You can kill your lonliness here by seeing at the…",4,128.5997241,35.8900225
65,경대칠성,꽃보라동산,2020-12,"(Google 번역 제공) 산책하기 좋은 곳. 특히 벚꽃 시즌에는 아름답습니다!

(원문)
Nice place to take a walk. Especially beautiful during cherry blossom season!",5,128.5997241,35.8900225
66,경대칠성,꽃보라동산,2019-12,도청교,3,128.5997241,35.8900225
67,경대칠성,꽃보라동산,2019-12,좋아요,4,128.5997241,35.8900225
68,경대칠성,꽃보라동산,2019-12,지밓어요,5,128.5997241,35.8900225
69,경대칠성,꽃보라동산,2019-12,벗꽃,4,128.5997241,35.8900225
70,경대칠성,꽃보라동산,2019-12,이게뭐여?,1,128.5997241,35.8900225
71,경대칠성,꽃보라동산,2019-12,좋아요,5,128.5997241,35.8900225
72,경대칠성,꽃보라동산,2019-12,좋다...,5,128.5997241,35.8900225
73,경대칠성,꽃보라동산,2019-12,꽃  이쁘  사람도많이오고,3,128.5997241,35.8900225
74,경대칠성,꽃보라동산,2020-12,좋아요!!!,5,128.5997241,35.8900225
75,경대칠성,꽃보라동산,2019-12,벚꽃이 아름다워,5,128.5997241,35.8900225
76,경대칠성,꽃보라동산,2019-12,봄 벚꽃명소,3,128.5997241,35.8900225
77,경대칠성,꽃보라동산,2019-12,개나리 동산. 지금이얏!,4,128.5997241,35.8900225
78,경대칠성,꽃보라동산,2019-12,정말 강추!!,5,128.5997241,35.8900225
79,경대칠성,꽃보라동산,2019-12,어릴때 놀던 곳,5,128.5997241,35.8900225
80,경대칠성,꽃보라동산,2019-12,벚꽃철에만 갈만하다,4,128.5997241,35.8900225
81,경대칠성,꽃보라동산,2019-12,벚꽃은 역시 꽃보라동산!,4,128.5997241,35.8900225
82,경대칠성,꽃보라동산,2019-12,도심속에 정원같은 포토존,4,128.5997241,35.8900225
83,경대칠성,꽃보라동산,2019-12,이쁘요  벗꽃이  오늘  아님다떨어질것,4,128.5997241,35.8900225
84,경대칠성,꽃보라동산,2019-12,벚꽃이 좋아요,4,128.5997241,35.8900225
85,경대칠성,꽃보라동산,2019-12,헐 이곳이 이름이 있던곳이었구나...,2,128.5997241,35.8900225
86,경대칠성,꽃보라동산,2019-12,추억의 장소,5,128.5997241,35.8900225
87,경대칠성,꽃보라동산,2020-12,그저그런데요,5,128.5997241,35.8900225
88,경대칠성,꽃보라동산,2019-12,꽃이 많을때 가면 좋을거같네요 ^0^,4,128.5997241,35.8900225
89,경대칠성,꽃보라동산,2019-12,생각보다 작음,3,128.5997241,35.8900225
90,경대칠성,꽃보라동산,2019-12,연중 가는곳이고 대구 시민들에게 로멘스와 청춘들에게 사랑의 서약을 할수있는 좋은 공간인거 같습니다.,5,128.5997241,35.8900225
91,경대칠성,꽃보라동산,2019-12,꽃보라 동산은 연인들의 데이트  장소로 도심속에 있어서 접근이  용이하고 봄이면 벗꽃이  흐드러지게 핍니다,4,128.5997241,35.8900225
92,경대칠성,꽃보라동산,2019-12,화장실과 공원 관리가 안되어 조금 아쉽네요,3,128.5997241,35.8900225
93,경대칠성,꽃보라동산,2019-12,벚꽃보러가세요,5,128.5997241,35.8900225
94,경대칠성,꽃보라동산,2019-12,벚꽃 지금 만개했습니다 이동네 주민들 다나온거같네요 포토존엔 사람이 바글바글 조명이랑 이런거 설치해둬서 벚꽃이 더 예쁘게보이네요,5,128.5997241,35.8900225
95,경대칠성,꽃보라동산,2020-12,간단히 산책하기 좋아요,4,128.5997241,35.8900225
96,경대칠성,꽃보라동산,2020-12,"다소 이른듯한 봄비가 내리는 사이로
신발이 젖도록 걸었다.
외투가 흠뻑 젖어도 좋겠다는 기분까지
발걸음이 가벼웠다.
뉴코로나 때문에 하나 둘뿐인 지나가는 사람들은 마스크로 입.코에 가리고  나무가지 사이에 맺힌 봄비 그가 오는 소리가 들린다.
모두가 무탈하게 만물이소생하는 봄비가 닥아 오는 모습을 더 기다려봅시다.
어떠합니까? 어린소년이 순수한 또한 소녀를 바라보는 기분입니다.",5,128.5997241,35.8900225
97,경대칠성,꽃보라동산,2018-12,"벚꽃을 보기 좋습니다.
낮에는 피크닉하는 사람들이 많고 밤에는 조명이 켜져
예쁜 벚꽃을 볼 수 있습니다. 사진 찍을 다양한 조형물이 있습니다.",5,128.5997241,35.8900225
98,경대칠성,꽃보라동산,2019-12,지나가면서 보기만하고 지나친 곳인데 짧은 산책에 좋은 곳이에요. 사진 찍기도 좋아요.,4,128.5997241,35.8900225
99,경대칠성,꽃보라동산,2019-12,"구)도청 앞에 있어서 도청에 주차하고 걸어가면 된다
우린 꽃이 조금 떨어졌을때 가서 그렇지 꽃이 한창 필때 가면 좋을듯~생각보다 잘 꾸며 놓았고 야경도 멋질듯~내년엔 한창 필때 가야겠다~^^",4,128.5997241,35.8900225
100,경대칠성,꽃보라동산,2019-12,작고 아담하지만 사진찍기 좋고 잠시 쉬어가는곳,4,128.5997241,35.8900225
101,경대칠성,꽃보라동산,2019-12,컴퓨터반 어르신들과 꽃놀이 갔어요 주차는 시청별관에 하면 되어서 너무 좋아요,5,128.5997241,35.8900225
102,경대칠성,꽃보라동산,2020-12,가을 분위가 물씬,1,128.5997241,35.8900225
103,경대칠성,꽃보라동산,2020-12,가는 길에 예쁜 꽃들 보기 좋아요. 벚꽃철엔 벚꽃이 아주 아름답습니다.,5,128.5997241,35.8900225
104,경대칠성,꽃보라동산,2020-12,"산책로  잘 만들어놔서  좋은데 좀 짧아요
구 경북도청, 현 시청별관 쪽에  주차해놓고  꽃보라동산갔는데
봄에  벛꽃만개했을때보단  그냥 시원한 푸르름만있음
빔ㅡ전동퀵보드 세우는데있어서  한두대 세워져있더라구요",5,128.5997241,35.8900225
105,경대칠성,꽃보라동산,2020-12,벚꽃 핫플. 벚꽃 피는 시기에 사람들 정말 많은데 평소에는 사람들이 별로 없어서 가볍게 산책하기 좋은 작은 공원. 인기가 많아지면서 조형물들도 많이 생기고 관할 구청에서 신경을 많이 쓰고있는것 처럼 보입니다,5,128.5997241,35.8900225
106,경대칠성,대구 삼성 창조 캠퍼스,2020-12,"맛있는 식당의 먹거리  대기업 삼성의 모태 대구 삼성상회 옛모습 , 제일모직 기숙사 동 등 다양한 볼거리가 있습니다. 창조경제혁신센터, 메이커스페이스에서 3D 프린터, 목공 메이커 체험도 즐길 수 있습니다",5,128.59528590000002,35.8841042
107,경대칠성,대구 삼성 창조 캠퍼스,2019-12,메이커 페스타라고~ 창조캠퍼스에서 여러가지 행사와 무료체험이 있어서 왔다가 도마만들었어요~ 공방과 문화센터처럼 배울 수 있는 공간과 먹고 놀 수있는 공간이 잘 되어있어 좋아요. 차가 못들어오니 아이들도 안전하게  놀 수 있어요^^,5,128.59528590000002,35.8841042
108,경대칠성,대구 삼성 창조 캠퍼스,2017-12,"외부 공간도 너무 잘 조성되어있고, 내부에 구경할 것이 정말 많습니다.
특히 인터넷으로 미리 예약해서 체험하는 VR ZONE도 재밌어요.",5,128.59528590000002,35.8841042
109,경대칠성,대구 삼성 창조 캠퍼스,2017-12,산책도 하고 외식도 하고.. 저녁되면 사람 붐비는 곳.. 소상공인 모여있는 곳이겠지만 일반인들은 잘 아나 뭐.. 식당가 있고 조그만 애들 놀이터도 있고 까페도 있고.. 한번 가볼만 함.. 옛 제일모직 기숙사 건물이 운치가 있음..,4,128.59528590000002,35.8841042
110,경대칠성,대구 삼성 창조 캠퍼스,2018-12,장소가 낮은  건물로 둘러싸여 편안.,4,128.59528590000002,35.8841042
111,경대칠성,대구 삼성 창조 캠퍼스,2020-12,아파트로 둘러 싸여 있는 시민들의 운동 및 휴식 공간,5,128.59528590000002,35.8841042
112,경대칠성,대구 삼성 창조 캠퍼스,2019-12,산책하기좋아요,5,128.59528590000002,35.8841042
113,경대칠성,대구 삼성 창조 캠퍼스,2020-12,접근성도 좋고 조용한편. 다양한 음식들이 있어요.  약간 비싼편이지만,5,128.59528590000002,35.8841042
114,경대칠성,대구 삼성 창조 캠퍼스,2019-12,"새로생기고 넑고 깨끗하고  주차장도
좋네요",5,128.59528590000002,35.8841042
115,경대칠성,대구 삼성 창조 캠퍼스,2019-12,"주말 저녁 어린 자녀와 부모가 함께 광장문화를 즐길 수 있는 곳이었어요.
다양한 공연과 북카페 카피샵. 각종 레스토랑...
어린이, 어른 모두가 어울려 즐길 수 있는 정말 활발한 도심 공간.
굿굿굿",5,128.59528590000002,35.8841042
116,경대칠성,대구 삼성 창조 캠퍼스,2018-12,오페라하우스뒷편 대구창조혁신센터내 중앙컨벤션센터 2층 홀 넓음. 주차면다수.,4,128.59528590000002,35.8841042
117,경대칠성,대구 삼성 창조 캠퍼스,2020-12,도심 한가운데 위치한 휴식공간,5,128.59528590000002,35.8841042
118,경대칠성,대구 삼성 창조 캠퍼스,2019-12,주변에 식당과 공원이있어서 좋습니다. 아이디어상품 전시관도 둘러보면 재미난 아이템들이 많습니다. 다만 일부인기 식당은 기다려야 할 수도있습니다. 주차는 상가에서 2시간지원을 해줍니다,4,128.59528590000002,35.8841042
119,경대칠성,대구 삼성 창조 캠퍼스,2017-12,"대구창조경제혁신센터의  창업 관련  C-Academy 의 강사진과 강의내용이 너무 좋습니다  기업가정신 마케팅 디자인씽킹 린스타트업등을 체계적으로 배우고 점검할 수 있는 시간이었습니다
기타 창업관련 지원 프로그램이 많이 있어요",5,128.59528590000002,35.8841042
120,경대칠성,대구 삼성 창조 캠퍼스,2018-12,잊을수 없는 2017년 송년회를 여기서 ^^,4,128.59528590000002,35.8841042
121,경대칠성,대구 삼성 창조 캠퍼스,2017-12,"스타트업 기업을 위한 다양한 지원 프로그램이 있으며, 도움을 받을 수 있는 전문가들이 있습니다.",5,128.59528590000002,35.8841042
122,경대칠성,대구 삼성 창조 캠퍼스,2019-12,"공간도 넓고 아이들이  뛰어 놀수있어요.
커피마시며 이야기도하고 ♡♡",5,128.59528590000002,35.8841042
123,경대칠성,대구 삼성 창조 캠퍼스,2020-12,반나절 산책하면서 식사하기 좋은곳... 다만 주차공간이 많이 부족합니다.,4,128.59528590000002,35.8841042
124,경대칠성,대구 삼성 창조 캠퍼스,2020-12,여기 아니었으면 이동네 어쩔뻔..,5,128.59528590000002,35.8841042
125,경대칠성,대구 삼성 창조 캠퍼스,2019-12,주차하기 좋고 음식 카페가 다양하다.아이있는 부모에게 적합한 장소이며 침산동에 음식점과 카페를 찾는다면 강추.,5,128.59528590000002,35.8841042
126,경대칠성,대구 삼성 창조 캠퍼스,2019-12,"가족나들이에 좋고 가끔 행사(대구 어린이 페이, 메이커 펫따 등등)들도 해요.",4,128.59528590000002,35.8841042
127,경대칠성,대구 삼성 창조 캠퍼스,2019-12,"정말 멋진 장소입니다.
산책하기도 좋고...애들 데리고 놀기도 좋고...
여러가지 종류의 식당들과 카페도 있어서 놀다가 먹다가..최고네요.
악세사리파는곳...문구 파는곳...책방...에지간한거 다 있네요.
주차하기도 편하고 애들 뛰어놀때 안전문제도 걱정을 덜수 있는 구조로 짜여져 있어서 참 좋아요.",5,128.59528590000002,35.8841042
128,경대칠성,대구 삼성 창조 캠퍼스,2019-12,"일단 주차장 넓은 게 제일 장점인 듯 합니다.
식사 후 후식(커피, 차 종류)까지 여기서 다 해결할 수 있어서 인근 모임 장소 중 최고입니다.
지인모임이든 직장회식이든 주로 여길 이용하게 되네요.",5,128.59528590000002,35.8841042
129,경대칠성,대구 삼성 창조 캠퍼스,2019-12,안경 집과 키즈카페 등 다양한 곳이 좋고 놀이터가 제일 좋아요,5,128.59528590000002,35.8841042
130,경대칠성,대구 삼성 창조 캠퍼스,2018-12,"곳곳이 깨끗하였고 크고 작은 빌딩들이 조화롭게 공간배치되어 있었다
빌딩들이 업무를 처리하기에 적합한 크기로 간주되었고 빌딩들의 배치는 업무처리요구자들의 동선을 고려한 것이었다
빌딩들 곳곳에 범죄예방을 위한 감시장치가 설비되어 있는 것 또한 주거가 안락하다는 느낌을 주는데 한몫하고 있었다
빌딩들 내부의 냉난방설비와 조명장치도 우수하였다
그리고 빌딩들 내외벽 색깔이 심신을 안정시키는데 도움되는 색깔들이었다
빌딩들 사이사이 초목과…",5,128.59528590000002,35.8841042
131,경대칠성,대구 삼성 창조 캠퍼스,2018-12,"아이들이 뛰놀거나 자전거, 킥보드 타기에는 좋습니다.
간식거리, 음식점이 많아 선택이 자유롭긴 한데 가격이 비쌉니다.",4,128.59528590000002,35.8841042
132,경대칠성,대구 삼성 창조 캠퍼스,2018-12,개인적으로별로임,1,128.59528590000002,35.8841042
133,경대칠성,대구 삼성 창조 캠퍼스,2019-12,컨셉이나 뚜렸한 테마도 없고 그냥 음식점과 커피숍만 있는 푸드타운 느낌임.창조경제란 말이 무색함.,1,128.59528590000002,35.8841042
134,경대칠성,대구 삼성 창조 캠퍼스,2019-12,아주 멋진 곳입니다,5,128.59528590000002,35.8841042
135,경대칠성,대구 삼성 창조 캠퍼스,2019-12,"대구에서 고풍스런 분위기로 건물들이 이쁘게 잘보존되어있음
데이트장소로 괜찮음",5,128.59528590000002,35.8841042
136,경대칠성,대구 삼성 창조 캠퍼스,2019-12,제일모직 자리를 삼성이 정리해서 만든곳이죠 동네 환경을 바꿔놧다고 봐야죠 식당들과 쉴공간들이 함께 있어 좋습니다,5,128.59528590000002,35.8841042
137,경대칠성,대구 삼성 창조 캠퍼스,2019-12,주차가 편리하고 식사 후 창조캠퍼스 산책이 가능하여 가족들과의 시간을 여유롭게 했음,4,128.59528590000002,35.8841042
138,경대칠성,대구 삼성 창조 캠퍼스,2019-12,도심안에 여유를 느낄수있는 예쁜 장소임.,5,128.59528590000002,35.8841042
139,경대칠성,대구 삼성 창조 캠퍼스,2019-12,좋아요 풍국면,4,128.59528590000002,35.8841042
140,경대칠성,대구 삼성 창조 캠퍼스,2019-12,음식이 맛나고 깔끔하네요,4,128.59528590000002,35.8841042
141,경대칠성,대구 삼성 창조 캠퍼스,2019-12,"이병철 선생님과 이재용회장께 감사
이런 장소를 만들어주다니 너무 고맙다",5,128.59528590000002,35.8841042
