field_1,wkt_geom,field_1_1,osmid,color,y,x,street_cou,lon,lat,highway,ref,geometry
"11",Point (128.63105089999999109 35.85893750000000324),"12","3110969206",#0d0887,"3968365.573","466688.3038","4","128.6310509","35.8589375",crossing,,POINT (466688.3038114554 3968365.5730095324)
"110",Point (128.62622600000000261 35.83927150000000239),"134","3076899388",#0d0887,"3966186.02","466244.3375","3","128.626226","35.8392715",,,POINT (466244.337496718 3966186.020413819)
"120",Point (128.62515329999999381 35.85367829999999856),"146","365377388",#0d0887,"3967784.286","466153.5832","3","128.6251533","35.8536783",,,POINT (466153.58320594084 3967784.2855811846)
"121",Point (128.62426450000000955 35.8537366999999989),"147","3729583052",#0d0887,"3967791.071","466073.3544","3","128.6242645","35.8537367",,,POINT (466073.35439360765 3967791.070777405)
"122",Point (128.62526120000001129 35.85372550000000302),"148","7105477699",#0d0887,"3967789.483","466163.346","4","128.6252612","35.8537255",,,POINT (466163.3460301538 3967789.483329828)
"123",Point (128.62536499999998796 35.85362450000000223),"149","7105477698",#0d0887,"3967778.245","466172.6757","4","128.625365","35.8536245",,,POINT (466172.67568406876 3967778.2452509166)
"138",Point (128.5959171000000083 35.87073300000000131),"164","2859437906",#0d0887,"3969686.383","463521.5312","3","128.5959171","35.870733",,,POINT (463521.53124668385 3969686.382956498)
"153",Point (128.6235307999999975 35.83546309999999835),"179","365385030",#0d0887,"3965764.555","465999.3069","1","128.6235308","35.8354631",,,POINT (465999.30692460574 3965764.5548480507)
"154",Point (128.6221866999999861 35.83537789999999745),"180","3731366315",#0d0887,"3965755.573","465877.8779","4","128.6221867","35.8353779",,,POINT (465877.87793199014 3965755.5729346313)
"155",Point (128.62334409999999707 35.83354250000000008),"181","365385058",#0d0887,"3965551.602","465981.6253","1","128.6233441","35.8335425",,,POINT (465981.6252524773 3965551.601539411)
"156",Point (128.62203999999999837 35.83362309999999695),"182","3731367728",#0d0887,"3965560.995","465863.877","4","128.62204","35.8336231",,,POINT (465863.87702989543 3965560.9951569526)
"159",Point (128.62323680000000081 35.83002799999999866),"185","414665226",#0d0887,"3965161.838","465970.4336","5","128.6232368","35.830028",,,POINT (465970.4336492957 3965161.8376885126)
"184",Point (128.62344699999999875 35.85321429999999765),"230","369782455",#0d0887,"3967733.414","465999.3157","3","128.623447","35.8532143",,,POINT (465999.3157077522 3967733.413843256)
"185",Point (128.62321170000001302 35.84905020000000064),"231","365399906",#0d0887,"3967271.644","465976.2904","3","128.6232117","35.8490502",,,POINT (465976.2904314385 3967271.644410287)
"186",Point (128.62139909999999077 35.84915809999999681),"232","369782415",#0d0887,"3967284.244","465812.6595","3","128.6213991","35.8491581",,,POINT (465812.6595295136 3967284.2437844304)
"187",Point (128.62356610000000501 35.84841680000000252),"233","369782282",#0d0887,"3967201.269","466008.0223","3","128.6235661","35.8484168",,,POINT (466008.02232649515 3967201.2691892483)
"188",Point (128.62325759999998809 35.84972630000000038),"234","369782264",#0d0887,"3967346.616","465980.724","3","128.6232576","35.8497263",,,POINT (465980.72396425623 3967346.61644918)
"199",Point (128.62616230000000428 35.8577060000000003),"246","365781378",#0d0887,"3968230.66","466246.3976","1","128.6261623","35.857706",,,POINT (466246.397603033 3968230.6599823595)
"201",Point (128.62551590000001056 35.85325540000000188),"248","365781393",#0d0887,"3967737.255","466186.1444","1","128.6255159","35.8532554",,,POINT (466186.1444017142 3967737.2552177)
"202",Point (128.62557780000000207 35.85398090000000337),"249","365781396",#0d0887,"3967817.701","466192.0417","1","128.6255778","35.8539809",,,POINT (466192.04165692825 3967817.7009551213)
"203",Point (128.62537389999999959 35.85377489999999767),"250","7105477696",#0d0887,"3967794.923","466173.5432","4","128.6253739","35.8537749",,,POINT (466173.5431900422 3967794.9234371986)
"227",Point (128.59389500000000339 35.87094749999999976),"289","365781916",#0d0887,"3969710.93","463339.0846","4","128.593895","35.8709475",crossing,,POINT (463339.084590767 3969710.9300903855)
"228",Point (128.59295309999998835 35.87084080000000341),"290","2309015855",#0d0887,"3969699.449","463254.0053","4","128.5929531","35.8708408",,,POINT (463254.0053458265 3969699.44922502)
"229",Point (128.59402819999999679 35.87096780000000251),"291","443547783",#0d0887,"3969713.132","463351.1186","4","128.5940282","35.8709678",,,POINT (463351.1185626062 3969713.1316929325)
"230",Point (128.5937342000000001 35.86977180000000232),"292","8246643948",#0d0887,"3969580.59","463324.0266","4","128.5937342","35.8697718",,,POINT (463324.02658052894 3969580.589862667)
"231",Point (128.59412270000001399 35.87198169999999919),"293","8246643947",#0d0887,"3969825.551","463360.1163","4","128.5941227","35.8719817",,,POINT (463360.1163447481 3969825.5510865105)
"345",Point (128.59249689999998623 35.86055369999999698),"526","369768956",#0d0887,"3968558.647","463208.0674","3","128.5924969","35.8605537",,,POINT (463208.067351355 3968558.647458293)
"347",Point (128.59247110000001157 35.86050110000000046),"528","2694336101",#0d0887,"3968552.823","463205.7136","3","128.5924711","35.8605011",,,POINT (463205.71364408574 3968552.8231443977)
"348",Point (128.59275990000000434 35.86122199999999793),"529","414665120",#0d0887,"3968632.672","463232.1214","4","128.5927599","35.861222",crossing,,POINT (463232.12140576553 3968632.6716638524)
"349",Point (128.59302719999999454 35.86205489999999685),"530","369768958",#0d0887,"3968724.951","463256.6393","3","128.5930272","35.8620549",,,POINT (463256.63926189585 3968724.950595513)
"350",Point (128.59359319999998661 35.86195140000000237),"531","2537800918",#0d0887,"3968713.259","463307.6929","3","128.5935932","35.8619514",,,POINT (463307.6928922849 3968713.2586070746)
"351",Point (128.59328629999998839 35.8629958000000002),"532","369768961",#0d0887,"3968829.211","463280.4661","4","128.5932863","35.8629958",,,POINT (463280.46610650676 3968829.2112828298)
"352",Point (128.59292469999999753 35.86172369999999887),"533","2539360230",#0d0887,"3968688.255","463247.2321","3","128.5929247","35.8617237",,,POINT (463247.2321455328 3968688.254741984)
"353",Point (128.59280029999999329 35.86306960000000288),"534","5138188623",#0d0887,"3968837.579","463236.6222","3","128.5928003","35.8630696",,,POINT (463236.6221761473 3968837.579245054)
"354",Point (128.59335790000000088 35.86377079999999751),"535","2539360270",#0d0887,"3968915.142","463287.2879","3","128.5933579","35.8637708",,,POINT (463287.2878524994 3968915.1419547987)
"355",Point (128.59379409999999666 35.86293040000000332),"536","2537800947",#0d0887,"3968821.767","463326.2822","3","128.5937941","35.8629304",,,POINT (463326.28217956686 3968821.767032814)
"356",Point (128.59339059999999222 35.86451670000000291),"537","369768964",#0d0887,"3968997.86","463290.5841","3","128.5933906","35.8645167",,,POINT (463290.5840815571 3968997.859675415)
"357",Point (128.59339979999998604 35.86475949999999813),"538","443205055",#0d0887,"3969024.786","463291.5266","4","128.5933998","35.8647595",,,POINT (463291.5266443001 3969024.7858970463)
"358",Point (128.59337210000001051 35.86411079999999885),"539","2537800977",#0d0887,"3968952.847","463288.7267","3","128.5933721","35.8641108",,,POINT (463288.7266698405 3968952.8470379584)
"359",Point (128.59482140000000072 35.86425479999999766),"540","2537800979",#0d0887,"3968968.275","463419.6396","3","128.5948214","35.8642548",,,POINT (463419.63956824056 3968968.2754224148)
"363",Point (128.59426170000000411 35.87201429999999647),"544","436816270",#0d0887,"3969829.115","463372.6794","4","128.5942617","35.8720143",,,POINT (463372.67940405494 3969829.1147755655)
"383",Point (128.62073399999999879 35.85128890000000013),"564","439682522",#0d0887,"3967520.809","465753.5175","4","128.620734","35.8512889",,,POINT (465753.51751234615 3967520.8090095147)
"386",Point (128.62158220000000597 35.85123300000000057),"567","369782201",#0d0887,"3967514.312","465830.0836","3","128.6215822","35.851233",,,POINT (465830.0835750435 3967514.3123894725)
"387",Point (128.62151969999999324 35.85057379999999938),"568","369782360",#0d0887,"3967441.221","465824.1571","3","128.6215197","35.8505738",,,POINT (465824.1571308363 3967441.220620811)
"388",Point (128.62353369999999586 35.85110459999999932),"569","369782204",#0d0887,"3967499.391","466006.2438","3","128.6235337","35.8511046",,,POINT (466006.24378127453 3967499.3913180707)
"389",Point (128.62341449999999554 35.8504612999999992),"570","369782363",#0d0887,"3967428.083","465995.2057","3","128.6234145","35.8504613",,,POINT (465995.2056739729 3967428.082661455)
"404",Point (128.62275840000000926 35.85011769999999842),"585","369782349",#0d0887,"3967390.201","465935.8141","1","128.6227584","35.8501177",,,POINT (465935.81414284837 3967390.2013488505)
"405",Point (128.62049650000000156 35.84857819999999862),"586","369782235",#0d0887,"3967220.241","465730.9056","4","128.6204965","35.8485782",,,POINT (465730.90563671064 3967220.2413678067)
"407",Point (128.62144660000001295 35.84982060000000104),"588","369782250",#0d0887,"3967357.707","465817.2331","3","128.6214466","35.8498206",,,POINT (465817.23308843235 3967357.7067823284)
"408",Point (128.6213286999999923 35.84853739999999789),"589","369782277",#0d0887,"3967215.425","465806.036","3","128.6213287","35.8485374",,,POINT (465806.03597121197 3967215.4249460106)
"411",Point (128.62358789999998976 35.84767159999999819),"592","369782304",#0d0887,"3967118.61","466009.6729","1","128.6235879","35.8476716",,,POINT (466009.67287333176 3967118.6095734783)
"444",Point (128.59105999999999881 35.85536129999999844),"626","2107078463",#0d0887,"3967983.285","463075.9265","3","128.59106","35.8553613",,,POINT (463075.92648289294 3967983.284902722)
"445",Point (128.59077139999999417 35.85636430000000274),"627","2607654798",#0d0887,"3968094.639","463050.3334","3","128.5907714","35.8563643",,,POINT (463050.3334463525 3968094.6394669344)
"452",Point (128.62817309999999793 35.87729949999999945),"642","7679099214",#0d0887,"3970403.14","466436.2157","1","128.6281731","35.8772995",,,POINT (466436.2157093747 3970403.1398918084)
"492",Point (128.59355410000000575 35.86717120000000136),"789","370482733",#0d0887,"3969292.217","463306.5689","5","128.5935541","35.8671712",,,POINT (463306.56891042896 3969292.21691469)
"493",Point (128.59364410000000589 35.86719759999999724),"790","8246643963",#0d0887,"3969295.111","463314.7062","4","128.5936441","35.8671976",,,POINT (463314.70620942744 3969295.111251423)
"494",Point (128.59363289999998869 35.86714409999999731),"791","8246643962",#0d0887,"3969289.182","463313.6704","4","128.5936329","35.8671441",,,POINT (463313.6704236666 3969289.181605556)
"495",Point (128.59346659999999929 35.86717279999999874),"792","8246643951",#0d0887,"3969292.427","463298.6702","4","128.5934666","35.8671728",,,POINT (463298.67021492345 3969292.427212269)
"496",Point (128.59364700000000425 35.86816600000000221),"793","2309015804",#0d0887,"3969402.518","463315.4144","4","128.593647","35.868166",,,POINT (463315.4143536593 3969402.518360511)
"497",Point (128.5935369000000037 35.86693759999999997),"794","5117297810",#0d0887,"3969266.314","463304.9084","3","128.5935369","35.8669376",,,POINT (463304.90841402847 3969266.3140831403)
"498",Point (128.59458319999998821 35.86806740000000104),"795","370482738",#0d0887,"3969391.232","463399.8874","4","128.5945832","35.8680674",,,POINT (463399.8873767896 3969391.2315180744)
"499",Point (128.59535139999999842 35.8679009000000022),"796","370483195",#0d0887,"3969372.477","463469.1627","4","128.5953514","35.8679009",,,POINT (463469.16268366174 3969372.477238441)
"500",Point (128.59437829999998826 35.86808899999999767),"797","4272835664",#0d0887,"3969393.704","463381.3993","3","128.5943783","35.868089",,,POINT (463381.3993076597 3969393.703951447)
"501",Point (128.5953083999999933 35.86911299999999869),"798","370482740",#0d0887,"3969506.931","463465.8371","4","128.5953084","35.869113",,,POINT (463465.83709487435 3969506.931020089)
"502",Point (128.59438520000000494 35.86767210000000006),"799","2312568513",#0d0887,"3969347.462","463381.8304","3","128.5943852","35.8676721",,,POINT (463381.8304265833 3969347.46171708)
"503",Point (128.59516750000000229 35.86912900000000093),"800","6284618929",#0d0887,"3969508.758","463453.1244","3","128.5951675","35.869129",,,POINT (463453.12440859014 3969508.7582821315)
"504",Point (128.59550100000001294 35.86906530000000259),"801","370482757",#0d0887,"3969501.569","463483.2026","4","128.595501","35.8690653",,,POINT (463483.2025651536 3969501.5685237213)
"505",Point (128.59551870000001372 35.86943579999999798),"802","370482743",#0d0887,"3969542.655","463484.9705","3","128.5955187","35.8694358",,,POINT (463484.97045244835 3969542.655206349)
"506",Point (128.59562360000001036 35.86986430000000325),"803","370483629",#0d0887,"3969590.142","463494.637","4","128.5956236","35.8698643",,,POINT (463494.63701809995 3969590.142291905)
"507",Point (128.59564940000001343 35.87076460000000111),"804","370482746",#0d0887,"3969689.988","463497.3791","4","128.5956494","35.8707646",,,POINT (463497.37907229416 3969689.987714302)
"508",Point (128.59560120000000438 35.87077070000000134),"805","8241930257",#0d0887,"3969690.682","463493.0306","4","128.5956012","35.8707707",crossing,,POINT (463493.0306080551 3969690.6822791668)
"509",Point (128.59570669999999382 35.8707577999999998),"806","8241930259",#0d0887,"3969689.212","463502.5487","4","128.5957067","35.8707578",crossing,,POINT (463502.54872013256 3969689.212115673)
"510",Point (128.59567229999998972 35.87109310000000306),"807","8241930252",#0d0887,"3969726.414","463499.597","4","128.5956723","35.8710931",,,POINT (463499.5970358463 3969726.4141190564)
"511",Point (128.59563959999999838 35.87042259999999771),"808","8241930256",#0d0887,"3969652.059","463496.3375","4","128.5956396","35.8704226",,,POINT (463496.33751023444 3969652.059094582)
"516",Point (128.59438789999998676 35.87203459999999922),"813","8246643969",#0d0887,"3969831.319","463384.0813","4","128.5943879","35.8720346",,,POINT (463384.0812903004 3969831.319044351)
