field_1,osmid,color,y,x,street_cou,lon,lat,highway,ref,geometry
"0","288219584",#0d0887,"3971663.092092311","463863.4252690433","3","128.5996146","35.8885675",,,POINT (463863.42526904325 3971663.092092311)
"1","7966967340",#0d0887,"3971635.3437163904","463895.2895588801","3","128.5999689","35.8883185",,,POINT (463895.2895588801 3971635.3437163904)
"2","3114875253",#0d0887,"3972198.4270544816","463202.9863114738","3","128.5922725","35.8933694",,,POINT (463202.9863114738 3972198.4270544816)
"3","7966967333",#0d0887,"3971619.944967977","463909.74886729405","3","128.6001298","35.8881802",,,POINT (463909.74886729405 3971619.944967977)
"4","288219613",#0d0887,"3971607.23854257","463922.2155308974","3","128.6002685","35.8880661",,,POINT (463922.2155308974 3971607.2385425703)
"5","7966967330",#0d0887,"3971582.174617536","463886.2628348464","1","128.5998713","35.8878388",,,POINT (463886.2628348464 3971582.1746175354)
"6","7966967336",#0d0887,"3971470.1576699913","463987.54354891554","3","128.6009985","35.8868326",,,POINT (463987.54354891554 3971470.1576699913)
"7","288220091",#0d0887,"3969344.147275806","465575.5592903784","3","128.6186845","35.8677218",,,POINT (465575.5592903784 3969344.147275806)
"8","4185233899",#0d0887,"3969269.880467496","465595.05921290815","3","128.6189037","35.8670529",,,POINT (465595.05921290815 3969269.8804674963)
"9","3793705754",#0d0887,"3969338.328030491","465622.9787149014","3","128.61921","35.867671",,,POINT (465622.9787149014 3969338.328030491)
"10","3793705725",#0d0887,"3969344.61113602","465570.37903321296","4","128.6186271","35.8677258",crossing,,POINT (465570.37903321296 3969344.6111360197)
"13","365208044",#0d0887,"3968739.4192869854","464513.58482850384","4","128.6069483","35.8622317",crossing,,POINT (464513.58482850384 3968739.4192869854)
"14","7117301037",#0d0887,"3968732.433842131","464537.8889178551","3","128.6072178","35.8621696",,,POINT (464537.88891785505 3968732.433842131)
"15","2521970422",#0d0887,"3968760.861058809","464433.1539128288","3","128.6060565","35.8624221",,,POINT (464433.1539128288 3968760.8610588093)
"16","3812289424",#0d0887,"3968768.5924299103","464521.2228938488","3","128.6070316","35.862495",,,POINT (464521.22289384884 3968768.5924299103)
"17","3812289423",#0d0887,"3968728.7708634087","464510.9779005327","3","128.6069199","35.8621356",,,POINT (464510.97790053266 3968728.7708634087)
"18","365208045",#0d0887,"3968785.995382028","464333.904666231","3","128.6049561","35.8626451",,,POINT (464333.904666231 3968785.9953820277)
"19","3791284271",#0d0887,"3968774.1734112846","464330.77816313633","4","128.604922","35.8625384",,,POINT (464330.77816313633 3968774.1734112846)
"20","2521966989",#0d0887,"3968780.791506505","464353.6201339976","4","128.6051747","35.8625989",crossing,,POINT (464353.6201339976 3968780.791506505)
"51","365366230",#0d0887,"3968880.688004966","465516.5477945142","4","128.6180509","35.8635412",,,POINT (465516.5477945142 3968880.688004966)
"52","366657641",#0d0887,"3968887.0313414666","465454.3755163798","3","128.617362","35.8635962",,,POINT (465454.3755163798 3968887.0313414666)
"53","365399761",#0d0887,"3968969.326268253","465523.4214923615","4","128.6181232","35.8643406",,,POINT (465523.42149236146 3968969.3262682534)
"54","366657643",#0d0887,"3968736.3042552634","465503.95779541286","3","128.6179177","35.862239",,,POINT (465503.95779541286 3968736.3042552625)
"55","365366513",#0d0887,"3968878.496907916","465648.9958610285","4","128.619518","35.8635261",,,POINT (465648.99586102844 3968878.496907916)
"63","365366439",#0d0887,"3968652.266820197","465054.82173398434","3","128.6129468","35.8614654",,,POINT (465054.82173398434 3968652.266820197)
"64","365366383",#0d0887,"3968896.676521404","465192.8499877323","3","128.6144649","35.8636739",,,POINT (465192.8499877323 3968896.676521404)
"65","366657150",#0d0887,"3968906.0644271737","465248.0146726832","3","128.6150755","35.8637605",,,POINT (465248.0146726832 3968906.0644271737)
"66","365366492",#0d0887,"3968913.7417222215","465059.2151376343","3","128.612984","35.863823",,,POINT (465059.2151376343 3968913.7417222215)
"96","365366462",#0d0887,"3968597.352090279","465041.0432082383","3","128.6127966","35.8609698",,,POINT (465041.0432082383 3968597.3520902786)
"97","365366460",#0d0887,"3968730.859258861","465058.0399860165","3","128.612979","35.8621741",,,POINT (465058.0399860165 3968730.8592588613)
"100","365366477",#0d0887,"3968745.001448577","465384.5433344463","3","128.6165947","35.8623132",,,POINT (465384.5433344463 3968745.001448577)
"103","365366455",#0d0887,"3968868.968234981","465005.3094424885","3","128.6123889","35.8634174",,,POINT (465005.3094424885 3968868.968234981)
"104","370376590",#0d0887,"3968798.043799616","464897.7510129664","3","128.6112007","35.8627741",,,POINT (464897.7510129664 3968798.0437996164)
"105","4635308338",#0d0887,"3968719.212628182","465004.97773784667","3","128.6123918","35.8620672",,,POINT (465004.97773784667 3968719.212628182)
"106","4635308339",#0d0887,"3968598.401015496","465033.8424097419","3","128.6127168","35.860979",,,POINT (465033.8424097419 3968598.4010154954)
"107","365366463",#0d0887,"3968608.7543792026","464962.6194761176","3","128.6119275","35.8610698",,,POINT (464962.61947611754 3968608.7543792026)
"108","365366466",#0d0887,"3968635.494785543","464907.03640662326","3","128.6113107","35.8613089",,,POINT (464907.03640662326 3968635.494785543)
"109","365380140",#0d0887,"3968704.199756455","464936.6255005552","3","128.6116354","35.8619294",,,POINT (464936.6255005552 3968704.1997564547)
"110","7117301020",#0d0887,"3968536.029399964","464881.2159342545","3","128.6110291","35.8604112",,,POINT (464881.2159342545 3968536.0293999636)
"111","2893374430",#0d0887,"3968695.57232939","464807.9418050195","3","128.6102105","35.861847",,,POINT (464807.9418050195 3968695.57232939)
"112","4864255615",#0d0887,"3968743.469355777","465407.5602758435","3","128.6168497","35.8623002",,,POINT (465407.5602758435 3968743.469355777)
"113","365366479",#0d0887,"3968897.462875221","465362.3622617644","4","128.6163424","35.863687",,,POINT (465362.3622617644 3968897.462875221)
"114","4864256022",#0d0887,"3968892.108410387","465409.7677308085","3","128.6168677","35.8636404",,,POINT (465409.7677308085 3968892.108410387)
"115","365366485",#0d0887,"3968991.578399698","465341.4335958436","3","128.6161065","35.8645348",,,POINT (465341.43359584355 3968991.5783996982)
"116","366657158",#0d0887,"3969111.804285272","465300.49305257766","3","128.6156478","35.8656173",,,POINT (465300.49305257766 3969111.804285272)
"117","370376602",#0d0887,"3969012.2003379706","465123.8143121495","4","128.6136952","35.864713",,,POINT (465123.8143121495 3969012.2003379706)
"118","365399768",#0d0887,"3968849.4050415945","465691.52425720176","3","128.6199903","35.8632653",,,POINT (465691.52425720176 3968849.4050415945)
"119","365366520",#0d0887,"3968976.356725028","465654.7213840105","3","128.6195772","35.8644086",,,POINT (465654.7213840105 3968976.356725028)
"120","3793705890",#0d0887,"3968991.447184532","465525.0968617904","3","128.6181408","35.8645401",,,POINT (465525.0968617904 3968991.447184532)
"121","365781466",#0d0887,"3969080.0700918017","465646.9000910242","4","128.6194861","35.8653434",,,POINT (465646.9000910242 3969080.0700918017)
"122","365377317",#0d0887,"3966397.378908041","464608.4468439685","3","128.6081029","35.8411194",,,POINT (464608.4468439685 3966397.3789080405)
