name,date,reviews,stars,category,address,lat,lng,foreigner
2岿龋炮 悼己肺,2020/12/02,亮篮 困摹客 技访等 牢抛府绢客  矫汲捞 啊拜措厚 亮嚼聪促,4,3己鞭 龋炮,措备堡开矫 吝备 悼老悼 吝居措肺81辨 16 ,35.8696561,128.59277029999998,False
2岿龋炮 悼己肺,2020/12/30,"酒捞甸 锭巩俊 力老 厚窖 规俊辑 槛冠阑 沁绢夸. 广俊 10盒 埃拜栏肺 拌加 嫡嫡嫡 溺溺 七橇 倒酒啊绰家澜, 拳厘角篮 淬硅晨货啊 拌加 棵扼坷绊... 捞霸 龋炮牢瘤 葛炮牢瘤... 绢饶... 啊练槛冠瘤 厚眠钦聪促.",1,3己鞭 龋炮,措备堡开矫 吝备 悼老悼 吝居措肺81辨 16 ,35.8696561,128.59277029999998,False
2岿龋炮 悼己肺,2020/12/30,"困摹绰 亮瘤父 弊困摹俊 促弗龋炮档腹嚼聪促.
倔府眉农牢谗绊 眉农牢 炼陛老嘛沁绰单 矫埃寸 父盔捞扼搁 捣郴扼绊...
拳厘角阂难搁 磊绊乐绰荤恩倔奔 券窍霸厚苗辑 阂档给虐绊 拳厘角荤侩.辑厚胶啊 沥富 户痢牢镑",1,3己鞭 龋炮,措备堡开矫 吝备 悼老悼 吝居措肺81辨 16 ,35.8696561,128.59277029999998,False
2岿龋炮 悼己肺,2020/12/30,"俊绢靛饭辑 乐辨贰 濒娄愁耳嚼聪促.
彬阐窍绊 亮酒夸.
GOOD",5,3己鞭 龋炮,措备堡开矫 吝备 悼老悼 吝居措肺81辨 16 ,35.8696561,128.59277029999998,False
2岿龋炮 悼己肺,2020/12/30,矫汲档 亮促. 吝居肺官肺糠捞扼 立辟己档 侩捞窍唱 炼坷陛 茫扁浆快搁辑 绢菲促,4,3己鞭 龋炮,措备堡开矫 吝备 悼老悼 吝居措肺81辨 16 ,35.8696561,128.59277029999998,False
2岿龋炮 悼己肺,2020/12/30,啊己厚 亮篮 龋炮涝聪促. 狼幅 胶鸥老矾鳖瘤 乐绢辑 阜芒 冈绊 晨货 龟  渴档 柄昌窍霸 混闭沁嚼聪促. 炼侥栏肺 唱柯 皋春绰 埃窜窍瘤父 冈阑父 沁绢夸. 涝角档 弧府 登绊 葛炮苞 龋炮 荤捞俊辑 绊刮窍绰 啊练 咯青按俊霸 亮篮 措救老 淀 钦聪促.,5,3己鞭 龋炮,措备堡开矫 吝备 悼老悼 吝居措肺81辨 16 ,35.8696561,128.59277029999998,False
2岿龋炮 悼己肺,2020/12/30,"措备 锅拳啊 悼己肺客 啊滨绊
林瞒厘捞 乐绢 祈府
按角档 父练窃
炼侥 力傍窍唱 奴 扁措绰 窍瘤 富扁甫..",5,3己鞭 龋炮,措备堡开矫 吝备 悼老悼 吝居措肺81辨 16 ,35.8696561,128.59277029999998,False
2岿龋炮 悼己肺,2019/12/30,"龋炮 柄昌窍绊 牢抛府绢档 彬阐窍绊
炼侥篮  乞裹沁绢夸  林瞒绰 老嘛林瞒啊瓷 老嘛涝角窍妨搁 矫埃寸 父盔 眠啊夸~  客牢坷橇呈甫 何殴沁歹聪 父盔 焊刘陛捞唱 脚盒刘阑 该扁扼绰...  客牢儡篮 拱绢焊瘤档  臼歹扼绰...  流盔盒甸模例篮 家家...",4,3己鞭 龋炮,措备堡开矫 吝备 悼老悼 吝居措肺81辨 16 ,35.8696561,128.59277029999998,False
2岿龋炮 悼己肺,2019/12/30,矫汲 柄昌窍绊 公均焊促 困摹啊 亮疽绢夸! 吝居开 1锅免备 官肺菊!! 咯青埃芭扼 瘤府 肋 隔耳绰单 被!!!,4,3己鞭 龋炮,措备堡开矫 吝备 悼老悼 吝居措肺81辨 16 ,35.8696561,128.59277029999998,False
2岿龋炮 悼己肺,2020/12/30,"啊拜措厚弥绊俊夸 炼侥档唱抚冈阑霸腹备夸
葛炮苞龋炮狼 弊荤捞码?
困摹档绢叼电啊鳖况辑迭捞匙夸",4,3己鞭 龋炮,措备堡开矫 吝备 悼老悼 吝居措肺81辨 16 ,35.8696561,128.59277029999998,False
2岿龋炮 悼己肺,2018/12/30,彬阐窍绊 亮疽绢夸^^ 辟贸俊 咐笼捞乐绢 钢府啊瘤 臼酒档 登聪 祈窍歹扼备夸. 炼侥档 迭 冈阑巴甸肺父 霖厚登绢 乐绢辑 埃祈钦聪促^^,4,3己鞭 龋炮,措备堡开矫 吝备 悼老悼 吝居措肺81辨 16 ,35.8696561,128.59277029999998,False
2岿龋炮 悼己肺,2020/12/30,呈公彬阐窍绊 亮疽嚼聪促. 内肺唱锭巩俊 捌沥酒囱 捌沥捞腹疽绰单 宝满疽嚼聪促.  绢皋聪萍啊 鞍捞荤侩窍绰芭咯辑 ... 绢皋聪萍 俺喊硅盒秦林寂档 亮阑 芭鞍嚼聪促,4,3己鞭 龋炮,措备堡开矫 吝备 悼老悼 吝居措肺81辨 16 ,35.8696561,128.59277029999998,False
2岿龋炮 悼己肺,2019/12/30,拳厘角捞 彬阐窍绊 困摹档 亮绊 规 牧叼记档 蔫利秦夸. 啊拜捞 炼陛 酒奖瘤父 傈眉利栏肺 亮疽绢夸,4,3己鞭 龋炮,措备堡开矫 吝备 悼老悼 吝居措肺81辨 16 ,35.8696561,128.59277029999998,False
2岿龋炮 悼己肺,2020/12/30,柄昌窍绊 魔备档 亮绊 拳厘角 垮角 魔角 备炼档 犬角洒 咯鸥 促弗 龋炮(葛炮)焊促 顿绢吵聪促. 措备俊辑绰 怖 咯扁肺 坷技夸,5,3己鞭 龋炮,措备堡开矫 吝备 悼老悼 吝居措肺81辨 16 ,35.8696561,128.59277029999998,False
2岿龋炮 悼己肺,2020/12/30,技缴茄 海妨啊 蠢哺瘤绰 龋炮鞍匙夸,4,3己鞭 龋炮,措备堡开矫 吝备 悼老悼 吝居措肺81辨 16 ,35.8696561,128.59277029999998,False
2岿龋炮 悼己肺,2020/12/30,柄昌窍绊 亮酒夸 规捞 炼陛 累酒夸,4,3己鞭 龋炮,措备堡开矫 吝备 悼老悼 吝居措肺81辨 16 ,35.8696561,128.59277029999998,False
2岿龋炮 悼己肺,2020/12/30,彬阐窍绊 困摹啊 亮促. 炼侥档 啊拜皑救窍搁 宝满篮祈.,4,3己鞭 龋炮,措备堡开矫 吝备 悼老悼 吝居措肺81辨 16 ,35.8696561,128.59277029999998,False
2岿龋炮 悼己肺,2020/12/30,吝惫企放栏肺 牢茄 且牢阑 馆康窍搁 概快 快荐茄 龋炮捞扼 积阿窃. 摸喊肺 盒困扁啊 促抚,5,3己鞭 龋炮,措备堡开矫 吝备 悼老悼 吝居措肺81辨 16 ,35.8696561,128.59277029999998,False
2岿龋炮 悼己肺,2019/12/30,老窜 厚令聪胶龋炮捞扼扁 焊促绰 何鹅掺 龋炮涝聪促. 郴何篮 辈厘洒 彬阐窍绊 老夯侥 龋炮捞扼绰 蠢肠捞 碍沁嚼聪促. 冯俊绰 阿辆 厚前甸捞 厚摹登绢乐瘤父 漂洒 郡瘤 胶鸥老肺 窍父墨捣 胶乔目啊 乐绢 辈厘洒 亮疽嚼聪促. 捞亥飘窍扁 亮篮镑涝聪促.,4,3己鞭 龋炮,措备堡开矫 吝备 悼老悼 吝居措肺81辨 16 ,35.8696561,128.59277029999998,False
