,NAME,ADDRESS,STAR_AVG,STAR_DIST_DECENDING,REVIEW_TITLE,REVIEW_STAR,REVIEW,VISIT_DATE,WRITE_DATE,LANGUAGE
0,대구예술발전소,대구 중구 달성로22길 31-12,4.5,"['6', '6', '1', '0', '0']",Tác phẩm nghệ thuật rất sáng tạo,4.0,"Daegu Art Factory được dự kiến là một trong những dự án thí điểm của chính phủ cho ""Dự án Phát triển Vành đai Sáng tạo Văn hóa và Nghệ thuật Sử dụng Di sản Công nghiệp hiện đại địa phương"" , nơi cho phép họ thiết lập nền tảng để trau dồi nghệ sĩ và mở rộng cơ sở hạ tầng để sáng tạo nghệ thuật thử nghiệm, mang lại hiệu ứng tái sinh thành phố bằng cách tạo ra một đỉnh cao cho sáng tạo nghệ thuật trong khu vực nội thành. Từ giờ trở đi, nhà máy sẽ phát triển thành một nhà máy cho văn hóa và nghệ thuật bằng cách trở thành một cái nôi sáng tạo nghệ thuật nơi các nghệ sĩ thành lập có thể vùi mình vào các hoạt động sáng tạo và tạo ra các tác phẩm sáng tạo tuyệt vời. Mình rất thích các tác phẩm nghệ thuật ở đây, rất sáng tạo và ý nghĩa. Ở tầng dưới có tiệm cafe, tầng trên cùng có một mặt trăng siêu to khổng lồ cho các bạn sống ảo nữa hihi.",2019년 7월,2019년 8월 14일 작성,베트남어
1,국립대구박물관,대구 수성구 청호로 321,4.0,"['13', '25', '15', '1', '0']",小巧但舒适的博物馆,4.0,里头的中文化程度挺高的，很适合对历史文物有兴趣的人，但以一个国立等级的博物馆来说，展示厅稍嫌太过小巧，希望有更大的空间可以做更多活泼的展示。,,2016년 6월 28일 작성,중국어(간체)
2,대구예술발전소,대구 중구 달성로22길 31-12,4.5,"['6', '6', '1', '0', '0']",Một không gian nghệ thuật miễn phí dành cho mọi lứa tuổi,5.0,"Nơi trưng bày các tác phẩm của các nghệ sĩ, một nơi giải trí văn hoá dành cho người dân ở Daegu, Hàn Quốc
Bên trong được trang trí khá độc đáo, chủ yếu là từ các chất liệu của những người làm nghệ thuật
Cũng có những không gian để vinh vinh danh những người đã đóng góp cho nghệ thuật trong nước.
Người trẻ thì đến đây đọc sách, uống cà phê hay chụp hình chung với mấy mặt trăng nhân tạo khổng lồ
Người lớn hơn 1 chút thì đến đây cùng gia đình, thưởng thức nghệ thuật,vừa uống 1 cốc cà phê vừa có một khoảng thời gian vui vẻ bên người thân yêu.",2019년 7월,2019년 8월 10일 작성,베트남어
3,국립대구박물관,대구 수성구 청호로 321,4.0,"['13', '25', '15', '1', '0']",中国文化深深影响韩国,4.0,博物馆里好多东西都证明韩国许多文化都来自中国。韩国古代的东西也有很多。去的时候正好赶上一个中国旅行团。人不是很多，还不错。,2016년 2월 • 개인,2016년 3월 11일 작성,중국어(간체)
4,김광석 길,대구 중구 달구벌대로450길,4.0,"['49', '66', '24', '2', '0']",Прогулка по городу,4.0,"С каждым днём влюбляюсь в Корею ! Красивые улицы, разнообразная уличная еда и конечно же пристрастие к пению! Удивляет и вдохновляет их любовь к В.Цою! Ему посвящена улица, на которой вы можете увидеть граффити , посидеть в уютных кафе и даже спеть на небольшой сцене)",2016년 12월 • 개인,2016년 12월 22일 작성,러시아어
5,김광석 길,대구 중구 달구벌대로450길,4.0,"['49', '66', '24', '2', '0']","улица, посвящённая певцу",5.0,"В Москве есть стена Виктора Цоя на Арбате, в Тэгу же Ким Гван-Соку посвятили целую улицу. На улице есть фотографии певца, факты его биографии, тексты песен, памятник. Улица уходит вниз, поэтому когда идёшь по ней, стена всё растёт. После того, как я побывала на этой улице, заинтересовалась и послушала песни.",2015년 1월 • 친구,2015년 12월 4일 작성,러시아어
6,디아크,대구 달성군 다사읍 강정본길 57,4.0,"['15', '25', '11', '1', '1']",Необычное архитектурное сооружение вблизи Тэгу,3.0,"Просто необычное архитектурное сооружение вблизи Тэгу. Если будете недалеко, можно и зайти поглядеть, не будете рядом - не стоит ходит. Вечером еще подсветка симпатичная. Внутри какие-то выставки картин, есть кафе, с которого открывается вид на реку.
Не самая интересная достопримечательность.",2016년 5월 • 친구,2016년 6월 17일 작성,러시아어
7,앞산공원,대구 남구 앞산순환로 574-116,4.5,"['110', '71', '20', '1', '0']",登高望远,5.0,"到这里一定要搭乘缆车到瞭望台去走走看看,缆车搭乘处建筑物很新颖,缆车本身像一台小小巴士一样,可以容纳约20人,缆车缓缓而上,由上而下看着地面高耸的树木就在脚下,感觉很特别,另外一定要介绍山上的餐厅,餐点水准很不错,很值得安排上山后品尝",,2020년 3월 2일 작성,중국어(간체)
8,디아크,대구 달성군 다사읍 강정본길 57,4.0,"['15', '25', '11', '1', '1']",Парк для прогулок.,5.0,Хорошее место для прогулок и катания на велосипеде. В здании на крыше есть кафе можно попить кофе и насладиться видом сверху на платину. Так же есть музей))),2016년 3월 • 개인,2016년 3월 17일 작성,러시아어
9,앞산공원,대구 남구 앞산순환로 574-116,4.5,"['110', '71', '20', '1', '0']",缆车上去可以爬一个迷你路线,3.0,公交车下来要延着小溪向上走10分钟才能到缆车站，打车则可以一直到缆车站。我则是先到了洛东江胜战纪念馆，只不过后者作为爱国主义教育基地展示单调了点，只有2层小展厅，大部分是文字描述，且只有韩文。缆车大概15分钟一班，山顶站也是个小餐厅，有个展望台。不过再向山上爬半小时能到标高658山顶，那里有个新号塔。山路比较好走但是精细较少，作为城市排名第一的景点还是有点失望。,2019년 10월,2019년 10월 7일 작성,중국어(간체)
10,디아크,대구 달성군 다사읍 강정본길 57,4.0,"['15', '25', '11', '1', '1']",Красиво,3.0,Безусловно необычное место но не более того. В самом здании ничего особо интересного нет. На последнем этаже кофейня и выход на крышу. Вид на реку. Рядом аттракционы для маленьких детей.,2015년 8월 • 개인,2015년 9월 8일 작성,러시아어
