,부서,사업명,제안취지,사업내용
0,자연재난과,무더운 대구의 여름을 위한 물놀이사업,대프리카라고 불리는 대구시에 물놀이장을 각 구마다 설치하여 주민들의 편의를 도모하는데 목적이 있습니다.,"현재 수도권지역이나 다른 광역시에서는 여름이 되면 각 구마다  물놀이를 할 수 있는 수영장을 설치하여 주민들이 시원한 여름을 보낼 수 있도록 하고 있습니다. 하지만 <br>전국에서 가장 여름이 더운 대구에서는 신천둔치 한 곳만 운영을 하고 있어 사람들이  집중되다보니 매우 혼잡하고 불편합니다. 각 구마다 크고 작은 물놀이장을 운영하면 신천둔치 수영장 내 및 주변의 혼잡을 막고 대구시 주민들의 편의를 증진하며, 뜨거운 대구의 열기를 식힐 수 있는 방안이 될 것입니다."
1,공원녹지과,신천동로 중앙분리대 교각 주변 녹지공간 조성,"○ 신천동로에 있는 신성교, 신천철도교, 신천교, 동신교 중앙분리대 교각 주변 나대지에는 콘크트로 덮여 있음( 신성교주변 나대지 넓이 : 680㎡ 정도) <br>○ 동신교 ~ 칠성교 구간의 녹지가 부족하여 가로경관 정비가 필요","○ 신천동로 신성교, 신천철도교, 신천교, 동신교 교각 주변 녹지<br>  공간 조성<br>  • 사업기간 : 2018. 2. ~ 6.<br>  • 사 업 비 : 90,000천원<br>    (녹지조성 : 70,000천원, 폐기물처리 및 토양개량 : 20,000천원,<br>     대구 상징물 또는 수달 조형물 10,000원)<br>  • 사업내용 <br>   - 신성교 교각 주변 나대지의 콘크리트 포장 철거<br>   - 식물이 자랄 수 있도록 양질의 토양으로 교체<br>   - 운전의 시야에 방해가 되지 않도록 수고가 낮은 수목, 초화류<br>     식재<br>   - 대구시 상징물 또는 신천을 상징하는 수달 조형물 설치 등"
2,도시디자인과,참 좋은 일자리가 만들어가는 학교 가는 길,효신초등학교 등굣길에 위치한 구 동부정류장 담벼락 보기 흉한 상태로 방치되어<br>도시 미관을 크게 훼손하고 있어,"󰋻구 동부정류장 담장 도색 <br>󰋻보호 팬스 설치 후 장미넝쿨 식재<br>󰋻도색, 팬스 설치, 장미넝쿨 식재 및 관리는 신천4동 노숙인 쉼터 人 활용하는 방안 모색"
3,,침산교-금호대교 사이 오수배출시설 개선 및 보행자 교각 설치,침산교 – 금호대교 사이 오수 배출시설에 대한 환경 개선 및 보행자 통행을 위한 교각을<br>설치하여 산책하는 시민에게 쾌적하고 안전한 산책로 조성,"○ 신천과 금호강변은 많은 대구시민이 산책(걷기, 마라톤, 자전거 등)을 즐기는 곳인데<br>침산교와 금호대교 사이에 설치되어 있는 오폐수 배출시설에서 너무 심한 악취와<br>함께 보기에도 흉한 오수가 고여 있어 시민들에게 많은 불쾌감을 주고 있습니다.<br>○ 비가 올 때에만 오폐수가 금호강으로 흘러들어 비가 오지 않을 때에는 항상 오폐수가<br>고여 있어 악취가 심하게 나고 있으며, 이로 인해 많은 모기와 하루살이 벌레들이<br>모여 있어 주변을 산책하는 시민들이 상당히 불편을 느끼고 있습니다.<br>○ 또한 오수 통로 위로 조그만 통로가 하나 설치되어 있는데 신천과 금호강을 잇은<br>이곳은 산책을 즐기는 시민과 자전거를 타는 시민이 많이 왕래하고 있어 사고의<br>위험이 상당히 높은 편입니다.<br>○ 이곳에 보행자가 통행하는 곳과 자전거가 통행하는 곳을 분리하여 교각을 설치해<br>준다면 시민들이 보다 안전하고 즐겁게 산책할 수 있을 것이라 생각됩니다."
4,여성가족정책관,제8회평화와인권을위한대구시민걷기대회 “양성평등한 세상 함께 만들어요!”,일본군‘위안부’문제를 올바르게 해결하고 전쟁 없는 평화로운 미래와 여성인권<br>이 지켜지는 양성평등한 세상을 대구시민들과 함께 만들어 가고자 함,"§ 사 업 명: 제8회평화와인권을위한대구시민걷기대회<br>“양성평등한 세상 함께 만들어요!”<br>§ 추진기간: 2017년 6월 ~ 2017년 11월<br>§ 사업내용<br>① 양성평등에 대한 인식확산을 위해 시민들과 함께 ‘걷기대회’ 라는 형식<br>을 통해 이해와 관심 확산.<br>② 일본군‘위안부’문제해결이 여성인권의 가치를 향상시키고 양성평등에<br>기여함을 알리고 인권이라는 소중한 가치가 올바르게 실현되는 세상을 함<br>께 염원.<br>§ 사업대상: 대구·경북지역 시민과 학생 1,000여명<br>§ 사업일시: 2017년 8월 14일(월) 오후4시~8시<br>§ 사업장소: ① 1안 - 대구 동신교 생활체육광장 및 신천일대<br>② 2안 – 대구 두류공원 일대<br>§ 사업주최: (사)정신대할머니와함께하는시민모임<br>§ 추진방법<br>① 양성평등과 인권향상을 위한 대구시민걷기대회 준비위원회 회의 개최<br>- 전체 일정 조율 및 회의 , 실행위원회 발족 결의<br>② (사)정신대할머니와함께하는시민모임 실행위원회<br>- 전체 일정 추진 및 월별 준비위원회 보고<br>- 공연 인원, 참가단체 및 연대단체 섭외, 참가자 실시간 확인<br>- 월별 계획에 따른 홍보 및 협의에 따른 장소 확정<br>- 온,오프라인 포스터 및 브로셔, 현수막, 동영상 제작<br>- 학교별, 공공단체 등 행사협조 공문발송, 자원봉사자 모집<br>- 역할분담을 통한 행사진행 및 부대행사<br>- 대회 정산 및 평가회의"
5,도로과,신천4동 제1경로당 앞 경사로 미끄럼 방지 공사,신천4동 제1경로당 앞 경사로는 비 또는 눈이 올 경우 많이 미끄럽습니다. 예전에 조성된 경사가 가파른 골목이기 때문에 경로당을 이용하는 노인분들이 불편을 겪고 있습니다. 또한 경로당 2층은 작은도서관이 위치해 아이들에게 안전사고의 위험이 있습니다. 이 경사도로를 아스콘 등을 이용한 미끄럼 방지 공사로 미끄러짐에 의한 안전사고를 예방할 수 있습니다.,- 아스콘 등을 이용한 토목 공사<br> * 첨부파일(hwp) 참조
6,교육청소년정책관,신천3동 작은도서관 LED 전등 교체,책을 읽을 때 무엇보다 중요한 것은 조명입니다. 조명이 어두우면 책을 보는데 있어 불편함을 느낄 수 있습니다. 또한 일반 삼파장이나 형광등 전구보다 조도가 높고 눈의 피로가 낮으면 효율이 좋은 LED 전구로 교체한다면 여러 가지 측면에서 효과가 나타날 것입니다.,-  LED 전등 교체<br> * 첨부파일(hwp) 참조
7,교육청소년정책관,대구 동구 작은도서관 거점 마을 커뮤니티공간 활용을,ㅇ 대구과역시 동구에 소재하고 있는 작은도서관을 활용하여 마을공동체 거점 장소의 역할을 수행할 수 있는 기반 마련<br>ㅇ 지역민의 화합과 소통할 수 있는 장소 제공을 통해 작은도서관 역할 강화 및 작은도서관 거점 마을공동체 육성 이바지<br>ㅇ 열악한 작은도서관 환경을 개선하기 위한 문화프로그램 및 행사운영 시스템 등 인프라 구축을 통해 작은도서관 활성화와 독서문화환경 조성,"ㅇ 사업대상 : 신암2동, 신암3동, 신천3동, 신천4동, 효목1동, 효목2동, 도평, 불로, 지저동, 동촌역사, 방촌동, 해안동, 반야월역사<br>ㅇ 사업내용<br>  - 문화행사 및 프로그램 운영을 위한 강좌시스템 구축<br>    ㆍ 빔프로젝트, 스크린 등 강연을 위한 시청각 장비 구축<br>    ㆍ 마이크, CD플레이어 등 문화행사를 위한 음향 장비 구축<br>  - 도서관내 현수막을 게첩을 위한 시설 정비<br>ㅇ 구축내용<br>  - 1개관당 장비 구축내용<br> * 첨부파일(hwp) 참조<br>  - 13개관 구축예산 : 13,000천원 × 13개관 = 169,000천원"
8,교육청소년정책관,신천도서관 미세먼지 방충망 설치,"・ 대구 동구 신천도서관은 도심에 위치하여 파리, 날파리같은 벌레가 많아서 여름에 문을 열어 놓기가 어렵습니다. 주변 환경도 산, 강과 같은 녹지환경이 전혀 없어서 공기 또한 좋지 않습니다. <br>・ 최근 황사와 미세먼지로 인해 공기 오염에 대한 우려도 많은 만큼 많은 주민들이 이용하는 신천관의 방충망을 작은 벌레와 미세먼지를 거를 수 있는 제품으로 교체하였으면 합니다.",・ 주민건강과 직결된 대기오염이 심각해지고 있음<br>・ 신천도서관은 도심에 위치하여 여러 가지 날벌레들이 많아 기존 방충망으로는 막을 수 없는 경우가 많음<br>・ 어린이를 동반한 가족들과 노약자가 많이 이용하는 시설인 공공도서관에 미세먼지와 작은 벌레들을 거를 수 있는 방충망 설치
9,공원녹지과,우리동네 도서관-공원 활성화 시켜주세요,율하체육공원 산책로가 동촌유원지까지 이어져있어 아침이나 주말에 운동 겸 자주 이용하는 데 물을 먹을 수 있는 곳이 많이 없습니다. 공원 산책로 근처에는 음수대도 없고 안심도서관 근처에 가야 매점이 딸랑 하나 보입니다. 그마저도 도서관이 쉬면 같이 문을 닫아버리니 물 마실 수 있는 곳이 잘 없습니다. 자연경관도 아름답고 자전거 타는 사람이든 가족단위로 놀러도 많이 오는 곳인데 음수대를 설치하여 이용하는 사람들에게 편의를 줬으면 합니다.,"안심도서관에서부터 동촌유원지, 길게는 신천까지 연결되는 산책로 인근에 <br>음수대를 설치해서 산책을 하거나 자전거를 타는 등 방문자들을 위한 편의시설을 만들어주세요<br>적어도 5km  지점마다 작은 음수대 하나씩 있다면 <br>좋은 환경을 지역주민들이 더 편하게 자주 애용할 것입니다."
